Table QS601EW,,,,,,,,,,,,,,,,,,,
"2011 Census: Economic activity, local authorities in England and Wales",,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
England and Wales,,,,,,,,,,,,,,,,,,,
"Constituent Countries; Regions, counties, London boroughs, unitary",,,,,,,,,,,,,,,,,,,
authorities and districts in England; unitary authorities in Wales,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
All usual residents aged 16 to 74,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Area code,Area name,,,All categories: Economic activity,Economically active: Total,Economically active: Employee: Part-time,Economically active: Employee: Full-time,Economically active: Self-employed with employees: Part-time,Economically active: Self-employed with employees: Full-time,Economically active: Self-employed without employees: Part-time,Economically active: Self-employed without employees: Full-time,Economically active: Unemployed,Economically active: Full-time student,Economically inactive: Total,Economically inactive: Retired,Economically inactive: Student (including full-time students),Economically inactive: Looking after home or family,Economically inactive: Long-term sick or disabled,Economically inactive: Other
,,,,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons
,,,,Number,Percentage,Percentage,Percentage,Percentage,Percentage,Percentage,Percentage,Percentage,Percentage,Percentage,Percentage,Percentage,Percentage,Percentage,Percentage
,,,,,,,,,,,,,,,,,,,
K04000001,ENGLAND AND WALES,,,"41,126,540",69.7,13.7,38.5,0.4,1.8,2.5,5.0,4.4,3.4,30.3,13.8,5.8,4.3,4.2,2.2
,,,,,,,,,,,,,,,,,,,
E92000001,ENGLAND,,,"38,881,374",69.9,13.7,38.6,0.4,1.8,2.5,5.0,4.4,3.4,30.1,13.7,5.8,4.4,4.0,2.2
,,,,,,,,,,,,,,,,,,,
E12000001,NORTH EAST,,,"1,924,206",66.1,14.2,36.8,0.3,1.5,1.5,3.2,5.4,3.3,33.9,16.0,5.9,4.0,5.8,2.2
, ,,,,,,,,,,,,,,,,,,
E06000047,,County Durham UA,,"383,796",64.4,13.2,37.5,0.3,1.5,1.5,3.3,4.4,2.7,35.6,17.1,6.2,3.7,6.5,2.2
E06000005,,Darlington UA,,"76,635",69.7,15.1,39.6,0.3,1.6,1.7,3.7,5.2,2.5,30.3,15.9,3.6,4.0,4.9,1.9
E06000001,,Hartlepool UA,,"66,804",65.1,15.1,33.9,0.3,1.3,1.3,2.8,7.8,2.7,34.9,15.9,4.6,4.9,7.1,2.4
E06000002,,Middlesbrough UA,,"100,551",63.2,15.0,31.1,0.3,1.1,1.3,2.5,7.6,4.4,36.8,13.8,7.4,5.5,6.8,3.2
E06000048,,Northumberland UA,,"233,224",67.9,14.7,37.0,0.4,2.3,2.2,4.5,4.4,2.2,32.1,18.8,3.5,3.6,4.4,1.8
E06000003,,Redcar and Cleveland UA,,"99,177",64.1,15.4,33.6,0.3,1.2,1.4,2.9,6.6,2.5,35.9,19.4,4.2,4.4,5.9,2.1
E06000004,,Stockton-on-Tees UA,,"140,654",68.4,15.7,37.6,0.3,1.4,1.5,3.1,5.7,3.0,31.6,14.8,5.2,4.2,4.9,2.5
,,,,,,,,,,,,,,,,,,,
E11000004,,Tyne and Wear (Met County),,"823,365",66.4,13.8,37.3,0.3,1.3,1.4,2.9,5.4,4.0,33.6,14.7,6.9,4.0,6.0,2.1
E08000020,,,Gateshead,"148,079",67.7,14.2,39.8,0.2,1.3,1.4,3.0,5.0,2.7,32.3,15.9,4.6,3.8,6.0,2.0
