area_code,area_name,total_persons,n_very_good,n_good,n_fair,n_bad,n_very_bad,pct_very_good,pct_good,pct_fair,pct_bad,pct_very_bad,n_bad_or_very_bad,pct_bad_or_very_bad
E06000047,County Durham UA,513242,217373,171564,82404,32568,9333,42.4,33.4,16.1,6.3,1.8,41901,8.1
E06000005,Darlington UA,105564,47046,37199,15116,4763,1440,44.6,35.2,14.3,4.5,1.4,6203,5.9
E06000001,Hartlepool UA,92028,39816,30117,14607,5789,1699,43.3,32.7,15.9,6.3,1.8,7488,8.1
E06000002,Middlesbrough UA,138412,62855,45295,19719,8001,2542,45.4,32.7,14.2,5.8,1.8,10543,7.6
E06000048,Northumberland UA,316028,138990,108458,48580,15641,4359,44.0,34.3,15.4,4.9,1.4,20000,6.300000000000001
E06000003,Redcar and Cleveland UA,135177,57285,45844,21449,8184,2415,42.4,33.9,15.9,6.1,1.8,10599,7.8999999999999995
E06000004,Stockton-on-Tees UA,191610,88811,64282,26385,9296,2836,46.3,33.5,13.8,4.9,1.5,12132,6.4
E08000020,Gateshead,200214,85320,67807,31158,12152,3777,42.6,33.9,15.6,6.1,1.9,15929,8.0
E08000021,Newcastle upon Tyne,280177,133933,89096,38018,14793,4337,47.8,31.8,13.6,5.3,1.5,19130,6.8
E08000022,North Tyneside,200801,90031,66955,30156,10638,3021,44.8,33.3,15.0,5.3,1.5,13659,6.8
E08000023,South Tyneside,148127,63345,48861,23700,9394,2827,42.8,33.0,16.0,6.3,1.9,12221,8.2
E08000024,Sunderland,275506,117365,90557,43951,18155,5478,42.6,32.9,16.0,6.6,2.0,23633,8.6
E06000008,Blackburn with Darwen UA,147489,66991,49010,20725,8428,2335,45.4,33.2,14.1,5.7,1.6,10763,7.300000000000001
E06000009,Blackpool UA,142065,56600,48022,23977,10346,3120,39.8,33.8,16.9,7.3,2.2,13466,9.5
E06000049,Cheshire East UA,370127,181595,123065,47306,14247,3914,49.1,33.2,12.8,3.8,1.1,18161,4.9
E06000050,Cheshire West and Chester UA,329608,159777,108967,42604,14259,4001,48.5,33.1,12.9,4.3,1.2,18260,5.5
E06000006,Halton UA,125746,58684,39693,17504,7732,2133,46.7,31.6,13.9,6.1,1.7,9865,7.8
E06000007,Warrington UA,202228,100734,66223,24446,8466,2359,49.8,32.7,12.1,4.2,1.2,10825,5.4
E07000026,Allerdale,96422,42887,33297,14210,4762,1266,44.5,34.5,14.7,4.9,1.3,6028,6.2
E07000027,Barrow-in-Furness,69087,29538,22865,10898,4542,1244,42.8,33.1,15.8,6.6,1.8,5786,8.4
E07000028,Carlisle,107524,48593,37494,15030,4964,1443,45.2,34.9,14.0,4.6,1.3,6407,5.8999999999999995
E07000029,Copeland,70603,31329,23938,10516,3760,1060,44.4,33.9,14.9,5.3,1.5,4820,6.8
E07000030,Eden,52564,24210,18810,7195,1875,474,46.1,35.8,13.7,3.6,0.9,2349,4.5
E07000031,South Lakeland,103658,48461,36385,14117,3701,994,46.8,35.1,13.6,3.6,1.0,4695,4.6
E08000001,Bolton,276786,125548,93765,39139,14465,3869,45.4,33.9,14.1,5.2,1.4,18334,6.6
E08000002,Bury,185060,87128,61634,25430,8539,2329,47.1,33.3,13.7,4.6,1.3,10868,5.8999999999999995
E08000003,Manchester,503127,245334,159452,62651,27014,8676,48.8,31.7,12.5,5.4,1.7,35690,7.1000000000000005
E08000004,Oldham ,224897,101526,74987,32778,12179,3427,45.1,33.3,14.6,5.4,1.5,15606,6.9
E08000005,Rochdale,211699,94233,70158,31303,12453,3552,44.5,33.1,14.8,5.9,1.7,16005,7.6000000000000005
E08000006,Salford,233933,107689,75685,32849,13741,3969,46.0,32.4,14.0,5.9,1.7,17710,7.6000000000000005
E08000007,Stockport,283275,135500,94251,37601,12505,3418,47.8,33.3,13.3,4.4,1.2,15923,5.6000000000000005
E08000008,Tameside,219324,96404,73918,33009,12492,3501,44.0,33.7,15.1,5.7,1.6,15993,7.300000000000001
E08000009,Trafford,226578,115496,71694,27549,9273,2566,51.0,31.6,12.2,4.1,1.1,11839,5.199999999999999
E08000010,Wigan,317849,144283,103934,46797,18112,4723,45.4,32.7,14.7,5.7,1.5,22835,7.2
E07000117,Burnley,87059,37372,29286,13682,5213,1506,42.9,33.6,15.7,6.0,1.7,6719,7.7
E07000118,Chorley,107155,51303,35705,14222,4623,1302,47.9,33.3,13.3,4.3,1.2,5925,5.5
E07000119,Fylde,75757,33815,25591,11619,3692,1040,44.6,33.8,15.3,4.9,1.4,4732,6.300000000000001
E07000120,Hyndburn,80734,34759,27610,12225,4800,1340,43.1,34.2,15.1,5.9,1.7,6140,7.6000000000000005
E07000121,Lancaster,138375,64577,46831,18960,6215,1792,46.7,33.8,13.7,4.5,1.3,8007,5.8
E07000122,Pendle,89452,38965,30826,13431,4921,1309,43.6,34.5,15.0,5.5,1.5,6230,7.0
E07000123,Preston,140202,65276,47840,18585,6644,1857,46.6,34.1,13.3,4.7,1.3,8501,6.0
E07000124,Ribble Valley,57132,29415,18376,7049,1805,487,51.5,32.2,12.3,3.2,0.9,2292,4.1000000000000005
E07000125,Rossendale,67982,31438,22508,9603,3475,958,46.2,33.1,14.1,5.1,1.4,4433,6.5
E07000126,South Ribble,109057,52009,37211,14240,4473,1124,47.7,34.1,13.1,4.1,1.0,5597,5.1
E07000127,West Lancashire,110685,52675,36226,14800,5380,1604,47.6,32.7,13.4,4.9,1.4,6984,6.300000000000001
E07000128,Wyre,107749,46601,36224,17189,5944,1791,43.2,33.6,16.0,5.5,1.7,7735,7.2
E08000011,Knowsley ,145893,67153,43505,21420,10631,3184,46.0,29.8,14.7,7.3,2.2,13815,9.5
E08000012,Liverpool,466415,217977,142132,65422,31162,9722,46.7,30.5,14.0,6.7,2.1,40884,8.8
E08000014,Sefton,273790,124069,89115,40620,15549,4437,45.3,32.5,14.8,5.7,1.6,19986,7.300000000000001
E08000013,St. Helens,175308,78620,55983,26198,11364,3143,44.8,31.9,14.9,6.5,1.8,14507,8.3
E08000015,Wirral,319783,148028,102085,45687,18448,5535,46.3,31.9,14.3,5.8,1.7,23983,7.5
E06000011,East Riding of Yorkshire UA,334179,151003,116859,48307,13877,4133,45.2,35.0,14.5,4.2,1.2,18010,5.4
E06000010,"Kingston upon Hull, City of UA",256406,110555,89572,38102,14047,4130,43.1,34.9,14.9,5.5,1.6,18177,7.1
E06000012,North East Lincolnshire UA,159616,70242,55935,23779,7507,2153,44.0,35.0,14.9,4.7,1.3,9660,6.0
E06000013,North Lincolnshire UA,167446,73234,59883,24667,7593,2069,43.7,35.8,14.7,4.5,1.2,9662,5.7
