Table QS405EW,,,,,,,,,,,,,,,,,
"2011 Census: Tenure - Households, local authorities in England and Wales",,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
England and Wales,,,,,,,,,,,,,,,,,
"Constituent Countries; Regions, counties, London boroughs, unitary",,,,,,,,,,,,,,,,,
authorities and districts in England; unitary authorities in Wales,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
All households,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Area code,Area name,,,All categories: Tenure,Owned: Total,Owned: Owned outright,Owned: Owned with a mortgage or loan,Shared ownership (part owned and part rented),Social rented: Total,Social rented: Rented from council (Local Authority),Social rented: Other social rented,Private rented: Total,Private rented: Private landlord or letting agency,Private rented: Employer of a household member,Private rented: Relative or friend of household member,Private rented: Other,Living rent free
,,,,Households,Households,Households,Households,Households,Households,Households,Households,Households,Households,Households,Households,Households,Households
,,,,Number,Number,Number,Number,Number,Number,Number,Number,Number,Number,Number,Number,Number,Number
,,,,,,,,,,,,,,,,,
K04000001,ENGLAND AND WALES,,,"23,366,044","14,853,678","7,206,954","7,646,724","178,236","4,118,461","2,208,080","1,910,381","3,900,178","3,566,467","57,099","214,150","62,462","315,491"
,,,,,,,,,,,,,,,,,
E92000001,ENGLAND,,,"22,063,368","13,975,024","6,745,584","7,229,440","173,760","3,903,550","2,079,778","1,823,772","3,715,924","3,401,675","55,211","199,428","59,610","295,110"
,,,,,,,,,,,,,,,,,
E12000001,NORTH EAST,,,"1,129,935","698,595","323,084","375,511","4,098","259,506","167,593","91,913","154,426","139,624","1,320","11,039","2,443","13,310"
, ,,,,,,,,,,,,,,,,
E06000047,,County Durham UA,,"223,803","147,347","69,435","77,912",488,"45,004","28,559","16,445","28,142","25,498",185,"2,121",338,"2,822"
E06000005,,Darlington UA,,"46,670","30,289","13,810","16,479",178,"7,228","5,238","1,990","8,513","7,758",112,546,97,462
E06000001,,Hartlepool UA,,"40,434","24,194","11,090","13,104",200,"9,515","4,016","5,499","5,971","5,525",26,349,71,554
E06000002,,Middlesbrough UA,,"57,203","32,723","15,200","17,523",336,"13,654","6,049","7,605","9,509","8,648",98,570,193,981
E06000048,,Northumberland UA,,"138,534","91,207","46,086","45,121",510,"25,841","14,820","11,021","18,417","16,225",434,"1,388",370,"2,559"
E06000003,,Redcar and Cleveland UA,,"59,605","39,705","19,806","19,899",256,"11,568","5,999","5,569","7,434","6,698",55,578,103,642
E06000004,,Stockton-on-Tees UA,,"79,159","54,225","23,285","30,940",255,"13,625","7,285","6,340","10,387","9,417",41,788,141,667
,,,,,,,,,,,,,,,,,
E11000004,,Tyne and Wear (Met County),,"484,527","278,905","124,372","154,533","1,875","133,071","95,627","37,444","66,053","59,855",369,"4,699","1,130","4,623"
E08000020,,,Gateshead,"89,154","51,915","23,081","28,834",363,"24,941","19,985","4,956","11,125","10,130",47,844,104,810
E08000021,,,Newcastle upon Tyne,"117,153","57,955","26,258","31,697",489,"34,850","27,340","7,510","22,318","20,462",113,"1,236",507,"1,541"
E08000022,,,North Tyneside,"91,295","59,136","25,611","33,525",374,"19,677","14,610","5,067","11,300","10,146",77,969,108,808
E08000023,,,South Tyneside,"67,167","38,333","17,003","21,330",297,"21,204","16,967","4,237","6,758","6,040",41,597,80,575
E08000024,,,Sunderland,"119,758","71,566","32,419","39,147",352,"32,399","16,725","15,674","14,552","13,077",91,"1,053",331,889
,,,,,,,,,,,,,,,,,
E12000002,NORTH WEST ,,,"3,009,549","1,941,564","934,101","1,007,463","15,787","550,481","231,730","318,751","462,899","424,667","3,127","28,622","6,483","38,818"
,,,,,,,,,,,,,,,,,
E06000008,,Blackburn with Darwen UA,,"57,353","36,793","18,039","18,754",290,"10,391","3,228","7,163","8,993","8,113",72,618,190,886
E06000009,,Blackpool UA,,"64,367","39,650","19,318","20,332",239,"6,999","4,823","2,176","16,770","15,549",62,"1,062",97,709
E06000049,,Cheshire East UA,,"159,441","118,766","59,846","58,920",779,"18,141","4,285","13,856","19,938","18,244",223,"1,200",271,"1,817"
E06000050,,Cheshire West and Chester UA,,"141,442","100,105","49,129","50,976","1,088","20,808","10,482","10,326","17,734","16,021",313,"1,100",300,"1,707"
E06000006,,Halton UA,,"53,312","33,796","14,436","19,360",322,"13,441","2,502","10,939","5,212","4,752",14,376,70,541
E06000007,,Warrington UA,,"85,140","60,915","27,206","33,709",637,"13,318","6,147","7,171","9,549","8,683",52,718,96,721
,,,,,,,,,,,,,,,,,
E10000006,,Cumbria ,,"222,042","157,050","87,019","70,031","1,106","31,778","10,761","21,017","28,481","25,183",551,"2,305",442,"3,627"
E07000026,,,Allerdale,"42,345","29,217","16,686","12,531",200,"8,088","1,123","6,965","4,142","3,595",68,397,82,698
E07000027,,,Barrow-in-Furness,"31,224","22,938","11,423","11,515",36,"3,454","2,704",750,"4,442","4,005",49,332,56,354
E07000028,,,Carlisle,"48,342","32,999","16,754","16,245",332,"7,394","1,283","6,111","6,914","6,221",104,493,96,703
E07000029,,,Copeland,"30,536","21,671","11,315","10,356",96,"5,668","2,172","3,496","2,665","2,315",51,243,56,436
E07000030,,,Eden,"23,043","16,258","10,048","6,210",211,"2,321",307,"2,014","3,685","3,216",103,310,56,568
E07000031,,,South Lakeland,"46,552","33,967","20,793","13,174",231,"4,853","3,172","1,681","6,633","5,831",176,530,96,868
,,,,,,,,,,,,,,,,,
E11000001,,Greater Manchester (Met County),,"1,128,066","678,367","307,709","370,658","5,730","247,540","134,369","113,171","181,095","167,567",729,"10,537","2,262","15,334"
E08000001,,,Bolton,"116,371","74,170","35,378","38,792",605,"23,825","16,575","7,250","15,930","14,555",73,"1,094",208,"1,841"
E08000002,,,Bury,"78,113","54,395","24,839","29,556",247,"11,703","7,314","4,389","10,774","9,859",44,780,91,994
E08000003,,,Manchester,"204,969","77,395","31,145","46,250","1,481","64,682","27,585","37,097","58,170","55,043",167,"2,153",807,"3,241"
E08000004,,,Oldham ,"89,703","58,259","27,193","31,066",352,"18,918","8,708","10,210","10,944","9,676",57,"1,018",193,"1,230"
E08000005,,,Rochdale,"87,552","54,149","24,334","29,815",340,"20,247","13,671","6,576","11,556","10,511",51,864,130,"1,260"
