year,area_code,area_name,total_16plus_2021,n_active_excl_students_2021,n_in_employment_excl_students_2021,n_unemployed_excl_students_2021,n_active_ft_student_2021,n_active_ft_student_in_employment_2021,n_active_ft_student_unemployed_2021,n_active_total_2021,n_in_employment_total_2021,n_unemployed_total_2021,n_inactive_2021,n_retired_2021,n_student_inactive_2021,n_home_family_2021,n_long_term_sick_disabled_2021,n_inactive_other_2021,pct_active_total_2021,pct_in_employment_total_2021,pct_unemployed_total_2021,pct_inactive_2021,pct_retired_2021,pct_student_inactive_2021,pct_home_family_2021,pct_long_term_sick_disabled_2021,pct_inactive_other_2021
2021,E06000001,Hartlepool,74685,39487,36846,2641,1264,903,361,40751,37749,3002,33934,17910,3463,4303,5432,2826,54.56,50.54,4.02,45.44,23.98,4.64,5.76,7.27,3.78
2021,E06000002,Middlesbrough,113939,58233,53849,4384,4015,2584,1431,62248,56433,5815,51691,23267,7974,7527,7879,5044,54.63,49.53,5.1,45.37,20.42,7.0,6.61,6.92,4.43
2021,E06000003,Redcar and Cleveland,112340,57807,54282,3525,1817,1338,479,59624,55620,4004,52716,32033,4444,5597,7268,3374,53.07,49.51,3.56,46.93,28.51,3.96,4.98,6.47,3.0
2021,E06000004,Stockton-on-Tees,158008,89315,84174,5141,3027,2268,759,92342,86442,5900,65666,37038,6878,7670,8208,5872,58.44,54.71,3.73,41.56,23.44,4.35,4.85,5.19,3.72
2021,E06000005,Darlington,88103,50768,48103,2665,1561,1193,368,52329,49296,3033,35774,21930,3229,3899,4179,2537,59.4,55.95,3.44,40.6,24.89,3.67,4.43,4.74,2.88
2021,E06000006,Halton,103948,60121,57286,2835,1926,1420,506,62047,58706,3341,41901,22958,3919,4588,7043,3393,59.69,56.48,3.21,40.31,22.09,3.77,4.41,6.78,3.26
2021,E06000007,Warrington,172722,104700,100663,4037,3275,2532,743,107975,103195,4780,64747,39954,6261,6215,7098,5219,62.51,59.75,2.77,37.49,23.13,3.62,3.6,4.11,3.02
2021,E06000008,Blackburn with Darwen,119509,65345,61516,3829,2766,2042,724,68111,63558,4553,51398,21250,7777,9594,7832,4945,56.99,53.18,3.81,43.01,17.78,6.51,8.03,6.55,4.14
2021,E06000009,Blackpool,116338,61973,57545,4428,2378,1816,562,64351,59361,4990,51987,27743,4151,5897,9507,4689,55.31,51.02,4.29,44.69,23.85,3.57,5.07,8.17,4.03
2021,E06000010,"Kingston upon Hull, City of",213875,122835,114053,8782,5320,3735,1585,128155,117788,10367,85720,38511,12766,12530,13717,8196,59.92,55.07,4.85,40.08,18.01,5.97,5.86,6.41,3.83
2021,E06000011,East Riding of Yorkshire,288142,158311,152548,5763,4487,3572,915,162798,156120,6678,125344,89466,9201,9848,9779,7050,56.5,54.18,2.32,43.5,31.05,3.19,3.42,3.39,2.45
2021,E06000012,North East Lincolnshire,127521,70673,67112,3561,2368,1738,630,73041,68850,4191,54480,31788,4588,6597,7468,4039,57.28,53.99,3.29,42.72,24.93,3.6,5.17,5.86,3.17
2021,E06000013,North Lincolnshire,139465,77987,74356,3631,2459,1865,594,80446,76221,4225,59019,37661,4697,6365,6541,3755,57.68,54.65,3.03,42.32,27.0,3.37,4.56,4.69,2.69
2021,E06000014,York,172082,93395,90307,3088,7837,5890,1947,101232,96197,5035,70850,38636,19183,4626,4712,3693,58.83,55.9,2.93,41.17,22.45,11.15,2.69,2.74,2.15
2021,E06000015,Derby,209193,117828,111304,6524,6519,4898,1621,124347,116202,8145,84846,42246,12921,11841,10617,7221,59.44,55.55,3.89,40.56,20.19,6.18,5.66,5.08,3.45
2021,E06000016,Leicester,291012,156924,146536,10388,12648,8396,4252,169572,154932,14640,121440,39005,31850,22739,14583,13263,58.27,53.24,5.03,41.73,13.4,10.94,7.81,5.01,4.56
2021,E06000017,Rutland,34297,18985,18418,567,440,365,75,19425,18783,642,14872,9733,1639,1112,718,1670,56.64,54.77,1.87,43.36,28.38,4.78,3.24,2.09,4.87
2021,E06000018,Nottingham,264321,128319,119330,8989,14616,9536,5080,142935,128866,14069,121386,35362,47342,14182,14440,10060,54.08,48.75,5.32,45.92,13.38,17.91,5.37,5.46,3.81
2021,E06000019,"Herefordshire, County of",157132,89974,86773,3201,2189,1737,452,92163,88510,3653,64969,44635,5017,5836,5614,3867,58.65,56.33,2.32,41.35,28.41,3.19,3.71,3.57,2.46
2021,E06000020,Telford and Wrekin,148670,87567,83442,4125,2813,2053,760,90380,85495,4885,58290,31490,7137,7460,7886,4317,60.79,57.51,3.29,39.21,21.18,4.8,5.02,5.3,2.9
2021,E06000021,Stoke-on-Trent,205899,114783,108821,5962,5189,3759,1430,119972,112580,7392,85927,42209,11268,11930,13167,7353,58.27,54.68,3.59,41.73,20.5,5.47,5.79,6.39,3.57
2021,E06000022,Bath and North East Somerset,161616,88709,85581,3128,5743,4229,1514,94452,89810,4642,67164,35641,18304,5248,4583,3388,58.44,55.57,2.87,41.56,22.05,11.33,3.25,2.84,2.1
