<<<<<<< HEAD
year,area_code,area_name,total_health_2021,n_very_good_2021,n_good_2021,n_fair_2021,n_bad_2021,n_very_bad_2021,n_bad_or_very_bad_2021,pct_very_good_2021,pct_good_2021,pct_fair_2021,pct_bad_2021,pct_very_bad_2021,pct_bad_or_very_bad_2021
2021,E06000001,Hartlepool,92338,39817,30749,14415,5625,1732,7357,43.12,33.3,15.61,6.09,1.88,7.97
2021,E06000002,Middlesbrough,143924,67207,46382,19821,7969,2545,10514,46.7,32.23,13.77,5.54,1.77,7.31
2021,E06000003,Redcar and Cleveland,136531,58085,46416,21633,7916,2481,10397,42.54,34.0,15.84,5.8,1.82,7.62
2021,E06000004,Stockton-on-Tees,196595,91479,65521,27307,9392,2896,12288,46.53,33.33,13.89,4.78,1.47,6.25
2021,E06000005,Darlington,107800,48749,37324,15383,5016,1328,6344,45.22,34.62,14.27,4.65,1.23,5.88
2021,E06000006,Halton,128480,59066,41455,18088,7491,2380,9871,45.97,32.27,14.08,5.83,1.85,7.68
2021,E06000007,Warrington,210974,105613,69138,25599,8265,2359,10624,50.06,32.77,12.13,3.92,1.12,5.04
2021,E06000008,Blackburn with Darwen,154738,73950,50010,20507,7826,2445,10271,47.79,32.32,13.25,5.06,1.58,6.64
2021,E06000009,Blackpool,141036,56933,47255,23963,9777,3108,12885,40.37,33.51,16.99,6.93,2.2,9.14
2021,E06000010,"Kingston upon Hull, City of",267014,115776,93150,39851,13999,4238,18237,43.36,34.89,14.92,5.24,1.59,6.83
2021,E06000011,East Riding of Yorkshire,342215,153547,121117,49161,14088,4302,18390,44.87,35.39,14.37,4.12,1.26,5.37
2021,E06000012,North East Lincolnshire,156966,67586,54939,24237,7911,2293,10204,43.06,35.0,15.44,5.04,1.46,6.5
2021,E06000013,North Lincolnshire,169680,72786,60954,25702,8003,2235,10238,42.9,35.92,15.15,4.72,1.32,6.03
2021,E06000014,York,202821,98610,71033,24604,6788,1786,8574,48.62,35.02,12.13,3.35,0.88,4.23
2021,E06000015,Derby,261364,119809,90551,35857,11542,3605,15147,45.84,34.65,13.72,4.42,1.38,5.8
2021,E06000016,Leicester,368571,179719,123425,46156,14749,4522,19271,48.76,33.49,12.52,4.0,1.23,5.23
2021,E06000017,Rutland,41049,20666,14063,4869,1169,282,1451,50.34,34.26,11.86,2.85,0.69,3.53
2021,E06000018,Nottingham,323632,153956,108292,41863,14787,4734,19521,47.57,33.46,12.94,4.57,1.46,6.03
2021,E06000019,"Herefordshire, County of",187034,85521,65655,26040,7641,2177,9818,45.72,35.1,13.92,4.09,1.16,5.25
2021,E06000020,Telford and Wrekin,185541,85273,63231,25683,8812,2542,11354,45.96,34.08,13.84,4.75,1.37,6.12
2021,E06000021,Stoke-on-Trent,258369,110241,90840,38276,14546,4466,19012,42.67,35.16,14.81,5.63,1.73,7.36
2021,E06000022,Bath and North East Somerset,193409,100186,63514,21853,6121,1735,7856,51.8,32.84,11.3,3.16,0.9,4.06
2021,E06000023,"Bristol, City of",472465,240060,154643,54311,18032,5419,23451,50.81,32.73,11.5,3.82,1.15,4.96
2021,E06000024,North Somerset,216727,103098,73421,28789,8897,2522,11419,47.57,33.88,13.28,4.11,1.16,5.27
2021,E06000025,South Gloucestershire,290424,144395,99207,34595,9529,2698,12227,49.72,34.16,11.91,3.28,0.93,4.21
2021,E06000026,Plymouth,264695,121117,89371,37196,13109,3902,17011,45.76,33.76,14.05,4.95,1.47,6.43
2021,E06000027,Torbay,139324,58842,47697,22578,7894,2313,10207,42.23,34.23,16.21,5.67,1.66,7.33
2021,E06000030,Swindon,233410,112213,82155,28667,8185,2190,10375,48.08,35.2,12.28,3.51,0.94,4.44
2021,E06000031,Peterborough,215673,99550,77378,27730,8582,2433,11015,46.16,35.88,12.86,3.98,1.13,5.11
2021,E06000032,Luton,225261,109654,77855,27073,8162,2517,10679,48.68,34.56,12.02,3.62,1.12,4.74
2021,E06000033,Southend-on-Sea,180686,84380,62139,24096,7793,2278,10071,46.7,34.39,13.34,4.31,1.26,5.57
2021,E06000034,Thurrock,176001,89350,58689,20323,5904,1735,7639,50.77,33.35,11.55,3.35,0.99,4.34
2021,E06000035,Medway,279775,132845,96739,35907,11171,3113,14284,47.48,34.58,12.83,3.99,1.11,5.11
2021,E06000036,Bracknell Forest,124610,65829,42515,12273,3147,846,3993,52.83,34.12,9.85,2.53,0.68,3.2
2021,E06000037,West Berkshire,161449,82413,55946,17685,4319,1086,5405,51.05,34.65,10.95,2.68,0.67,3.35
2021,E06000038,Reading,174224,89196,60019,18627,5018,1364,6382,51.2,34.45,10.69,2.88,0.78,3.66
2021,E06000039,Slough,158500,81941,53816,16804,4625,1314,5939,51.7,33.95,10.6,2.92,0.83,3.75
2021,E06000040,Windsor and Maidenhead,153496,85594,48793,14471,3636,1002,4638,55.76,31.79,9.43,2.37,0.65,3.02
2021,E06000041,Wokingham,177500,97553,58866,16372,3676,1033,4709,54.96,33.16,9.22,2.07,0.58,2.65
2021,E06000042,Milton Keynes,287060,146636,96796,31721,9239,2668,11907,51.08,33.72,11.05,3.22,0.93,4.15
2021,E06000043,Brighton and Hove,277103,139078,91878,32118,10757,3272,14029,50.19,33.16,11.59,3.88,1.18,5.06
2021,E06000044,Portsmouth,208003,98505,72447,26740,8000,2311,10311,47.36,34.83,12.86,3.85,1.11,4.96
2021,E06000045,Southampton,248922,118703,87353,30497,9536,2833,12369,47.69,35.09,12.25,3.83,1.14,4.97
2021,E06000046,Isle of Wight,140459,56014,51903,23077,7386,2079,9465,39.88,36.95,16.43,5.26,1.48,6.74
2021,E06000047,County Durham,522068,224293,176980,81624,30167,9004,39171,42.96,33.9,15.63,5.78,1.72,7.5
2021,E06000049,Cheshire East,398769,198755,132827,48431,14513,4243,18756,49.84,33.31,12.15,3.64,1.06,4.7
2021,E06000050,Cheshire West and Chester,357150,174349,118810,45293,14499,4199,18698,48.82,33.27,12.68,4.06,1.18,5.24
2021,E06000051,Shropshire,323606,150899,112330,43932,12796,3649,16445,46.63,34.71,13.58,3.95,1.13,5.08
2021,E06000052,Cornwall,570305,260855,191185,82985,26972,8308,35280,45.74,33.52,14.55,4.73,1.46,6.19
2021,E06000053,Isles of Scilly,2054,1054,677,240,66,17,83,51.31,32.96,11.68,3.21,0.83,4.04
2021,E06000054,Wiltshire,510333,252803,173908,62034,16995,4593,21588,49.54,34.08,12.16,3.33,0.9,4.23
2021,E06000055,Bedford,185225,90419,64772,21942,6357,1735,8092,48.82,34.97,11.85,3.43,0.94,4.37
2021,E06000056,Central Bedfordshire,294252,148210,101486,33332,8817,2407,11224,50.37,34.49,11.33,3.0,0.82,3.81
2021,E06000057,Northumberland,320567,140289,110887,49447,15644,4300,19944,43.76,34.59,15.42,4.88,1.34,6.22
2021,E06000058,"Bournemouth, Christchurch and Poole",400196,190242,136523,52466,16230,4735,20965,47.54,34.11,13.11,4.06,1.18,5.24
2021,E06000059,Dorset,379579,170366,135867,54010,15166,4170,19336,44.88,35.79,14.23,4.0,1.1,5.09
2021,E06000060,Buckinghamshire,553079,293915,183564,57178,14525,3897,18422,53.14,33.19,10.34,2.63,0.7,3.33
2021,E06000061,North Northamptonshire,359524,166047,128657,47271,13718,3831,17549,46.19,35.79,13.15,3.82,1.07,4.88
2021,E06000062,West Northamptonshire,425725,209457,149226,49482,13891,3669,17560,49.2,35.05,11.62,3.26,0.86,4.12
2021,E07000008,Cambridge,145675,80195,46807,13957,3715,1001,4716,55.05,32.13,9.58,2.55,0.69,3.24
2021,E07000009,East Cambridgeshire,87762,42423,30830,10879,2859,771,3630,48.34,35.13,12.4,3.26,0.88,4.14
2021,E07000010,Fenland,102462,41264,38407,16256,5064,1471,6535,40.27,37.48,15.87,4.94,1.44,6.38
2021,E07000011,Huntingdonshire,180833,86577,64569,22026,6085,1576,7661,47.88,35.71,12.18,3.36,0.87,4.24
2021,E07000012,South Cambridgeshire,162116,84637,54501,17419,4313,1246,5559,52.21,33.62,10.74,2.66,0.77,3.43
2021,E07000026,Allerdale,96154,43162,32866,14357,4498,1271,5769,44.89,34.18,14.93,4.68,1.32,6.0
2021,E07000027,Barrow-in-Furness,67407,29262,23259,10057,3792,1037,4829,43.41,34.51,14.92,5.63,1.54,7.16
2021,E07000028,Carlisle,110024,50139,38022,15476,4971,1416,6387,45.57,34.56,14.07,4.52,1.29,5.81
2021,E07000029,Copeland,67076,29807,22281,10387,3572,1029,4601,44.44,33.22,15.49,5.33,1.53,6.86
2021,E07000030,Eden,54735,25678,19370,7256,1908,523,2431,46.91,35.39,13.26,3.49,0.96,4.44
2021,E07000031,South Lakeland,104450,50056,36405,13384,3630,975,4605,47.92,34.85,12.81,3.48,0.93,4.41
