old_area_code,new_area_code,new_area_name
E06000048,E06000057,Northumberland
E06000028,E06000058,"Bournemouth, Christchurch and Poole"
E06000029,E06000058,"Bournemouth, Christchurch and Poole"
E07000048,E06000058,"Bournemouth, Christchurch and Poole"
E07000049,E06000059,Dorset
E07000050,E06000059,Dorset
E07000051,E06000059,Dorset
E07000052,E06000059,Dorset
E07000053,E06000059,Dorset
E07000004,E06000060,Buckinghamshire
E07000005,E06000060,Buckinghamshire
E07000006,E06000060,Buckinghamshire
E07000007,E06000060,Buckinghamshire
E07000150,E06000061,North Northamptonshire
E07000152,E06000061,North Northamptonshire
E07000153,E06000061,North Northamptonshire
E07000156,E06000061,North Northamptonshire
E07000151,E06000062,West Northamptonshire
E07000154,E06000062,West Northamptonshire
E07000155,E06000062,West Northamptonshire
E07000100,E07000240,St Albans
E07000104,E07000241,Welwyn Hatfield
E07000097,E07000242,East Hertfordshire
E07000101,E07000243,Stevenage
E07000205,E07000244,East Suffolk
E07000206,E07000244,East Suffolk
E07000201,E07000245,West Suffolk
E07000204,E07000245,West Suffolk
E07000190,E07000246,Somerset West and Taunton
E07000191,E07000246,Somerset West and Taunton
E08000020,E08000037,Gateshead
