area_code,area_name,total_persons_health,n_very_good,n_good,n_fair,n_bad,n_very_bad,pct_very_good,pct_good,pct_fair,pct_bad,pct_very_bad,n_bad_or_very_bad,pct_bad_or_very_bad,total_persons_econ,n_active_total,n_employee_part_time,n_employee_full_time,n_self_emp_with_employees_part_time,n_self_emp_with_employees_full_time,n_self_emp_without_employees_part_time,n_self_emp_without_employees_full_time,n_unemployed,n_full_time_student_active,n_inactive_total,n_retired,n_student_inactive,n_looking_after_home_family,n_long_term_sick_disabled,n_other_inactive,pct_active_total,pct_employee_part_time,pct_employee_full_time,pct_self_emp_with_employees_part_time,pct_self_emp_with_employees_full_time,pct_self_emp_without_employees_part_time,pct_self_emp_without_employees_full_time,pct_unemployed,pct_full_time_student_active,pct_inactive_total,pct_retired,pct_student_inactive,pct_looking_after_home_family,pct_long_term_sick_disabled,pct_other_inactive,pct_unemployed_of_total
E06000047,County Durham UA,513242,217373,171564,82404,32568,9333,42.4,33.4,16.1,6.3,1.8,41901,8.1,383796,247101,50595,143922,1052,5717,5799,12741,17013,10262,136695,65444,23837,14190,24887,8337,64.4,13.2,37.5,0.3,1.5,1.5,3.3,4.4,2.7,35.6,17.1,6.2,3.7,6.5,2.2,4.432823687584029
E06000005,Darlington UA,105564,47046,37199,15116,4763,1440,44.6,35.2,14.3,4.5,1.4,6203,5.9,76635,53443,11555,30337,234,1254,1289,2818,4002,1954,23192,12214,2742,3081,3737,1418,69.7,15.1,39.6,0.3,1.6,1.7,3.7,5.2,2.5,30.3,15.9,3.6,4.0,4.9,1.9,5.222156977882169
E06000001,Hartlepool UA,92028,39816,30117,14607,5789,1699,43.3,32.7,15.9,6.3,1.8,7488,8.1,66804,43513,10092,22635,212,846,892,1855,5194,1787,23291,10621,3042,3265,4733,1630,65.1,15.1,33.9,0.3,1.3,1.3,2.8,7.8,2.7,34.9,15.9,4.6,4.9,7.1,2.4,7.774983533920124
E06000002,Middlesbrough UA,138412,62855,45295,19719,8001,2542,45.4,32.7,14.2,5.8,1.8,10543,7.6,100551,63582,15063,31301,300,1068,1331,2472,7631,4416,36969,13922,7453,5569,6841,3184,63.2,15.0,31.1,0.3,1.1,1.3,2.5,7.6,4.4,36.8,13.8,7.4,5.5,6.8,3.2,7.589183598372965
E06000048,Northumberland UA,316028,138990,108458,48580,15641,4359,44.0,34.3,15.4,4.9,1.4,20000,6.300000000000001,233224,158268,34368,86380,993,5351,5151,10568,10329,5128,74956,43897,8108,8368,10321,4262,67.9,14.7,37.0,0.4,2.3,2.2,4.5,4.4,2.2,32.1,18.8,3.5,3.6,4.4,1.8,4.428789489932425
E06000003,Redcar and Cleveland UA,135177,57285,45844,21449,8184,2415,42.4,33.9,15.9,6.1,1.8,10599,7.899999999999999,99177,63530,15322,33372,285,1235,1436,2908,6533,2439,35647,19206,4142,4361,5869,2069,64.1,15.4,33.6,0.3,1.2,1.4,2.9,6.6,2.5,35.9,19.4,4.2,4.4,5.9,2.1,6.587212761023221
E06000004,Stockton-on-Tees UA,191610,88811,64282,26385,9296,2836,46.3,33.5,13.8,4.9,1.5,12132,6.4,140654,96259,22070,52927,410,2017,2119,4395,8075,4246,44395,20767,7277,5911,6861,3579,68.4,15.7,37.6,0.3,1.4,1.5,3.1,5.7,3.0,31.6,14.8,5.2,4.2,4.9,2.5,5.74103829254767
E08000020,Gateshead,200214,85320,67807,31158,12152,3777,42.6,33.9,15.6,6.1,1.9,15929,8.0,148079,100184,21023,58988,351,1887,2059,4509,7419,3948,47895,23531,6832,5670,8844,3018,67.7,14.2,39.8,0.2,1.3,1.4,3.0,5.0,2.7,32.3,15.9,4.6,3.8,6.0,2.0,5.010163493810736
E08000021,Newcastle upon Tyne,280177,133933,89096,38018,14793,4337,47.8,31.8,13.6,5.3,1.5,19130,6.8,212864,133848,25835,69811,675,3017,3204,6236,10652,14418,79016,24571,29253,8868,11509,4815,62.9,12.1,32.8,0.3,1.4,1.5,2.9,5.0,6.8,37.1,11.5,13.7,4.2,5.4,2.3,5.00413409500902
E08000022,North Tyneside,200801,90031,66955,30156,10638,3021,44.8,33.3,15.0,5.3,1.5,13659,6.8,147889,104242,21815,61349,354,2074,2274,4933,7304,4139,43647,23497,5310,5048,7354,2438,70.5,14.8,41.5,0.2,1.4,1.5,3.3,4.9,2.8,29.5,15.9,3.6,3.4,5.0,1.6,4.938839264583573
E08000023,South Tyneside,148127,63345,48861,23700,9394,2827,42.8,33.0,16.0,6.3,1.9,12221,8.2,108981,72645,15480,40838,289,1379,1287,2993,7145,3234,36336,17355,4611,4696,7234,2440,66.7,14.2,37.5,0.3,1.3,1.2,2.7,6.6,3.0,33.3,15.9,4.2,4.3,6.6,2.2,6.556188693441976
E08000024,Sunderland,275506,117365,90557,43951,18155,5478,42.6,32.9,16.0,6.6,2.0,23633,8.6,205552,135467,29186,75899,586,2529,2788,5574,12016,6889,70085,32215,10778,8666,14084,4342,65.9,14.2,36.9,0.3,1.2,1.4,2.7,5.8,3.4,34.1,15.7,5.2,4.2,6.9,2.1,5.845722736825718
E06000008,Blackburn with Darwen UA,147489,66991,49010,20725,8428,2335,45.4,33.2,14.1,5.7,1.6,10763,7.300000000000001,104417,67033,14535,35597,520,1703,2050,3724,5575,3329,37384,13248,6065,7061,7378,3632,64.2,13.9,34.1,0.5,1.6,2.0,3.6,5.3,3.2,35.8,12.7,5.8,6.8,7.1,3.5,5.339168909277225
E06000009,Blackpool UA,142065,56600,48022,23977,10346,3120,39.8,33.8,16.9,7.3,2.2,13466,9.5,103813,68540,14836,34230,349,1646,2415,5550,6337,3177,35273,16807,3809,3943,8228,2486,66.0,14.3,33.0,0.3,1.6,2.3,5.3,6.1,3.1,34.0,16.2,3.7,3.8,7.9,2.4,6.1042451330758185
E06000049,Cheshire East UA,370127,181595,123065,47306,14247,3914,49.1,33.2,12.8,3.8,1.1,18161,4.9,270953,191253,38940,106863,1205,6533,7713,13605,8742,7652,79700,46446,11341,9591,8327,3995,70.6,14.4,39.4,0.4,2.4,2.8,5.0,3.2,2.8,29.4,17.1,4.2,3.5,3.1,1.5,3.2263898166840743
E06000050,Cheshire West and Chester UA,329608,159777,108967,42604,14259,4001,48.5,33.1,12.9,4.3,1.2,18260,5.5,243155,170778,36206,95642,887,4729,5711,10529,8949,8125,72377,39893,10746,8620,9574,3544,70.2,14.9,39.3,0.4,1.9,2.3,4.3,3.7,3.3,29.8,16.4,4.4,3.5,3.9,1.5,3.680368489235261
E06000006,Halton UA,125746,58684,39693,17504,7732,2133,46.7,31.6,13.9,6.1,1.7,9865,7.8,92708,63411,13102,37219,194,1056,1230,2940,5151,2519,29297,13332,3858,3900,6451,1756,68.4,14.1,40.1,0.2,1.1,1.3,3.2,5.6,2.7,31.6,14.4,4.2,4.2,7.0,1.9,5.556154808646503
E06000007,Warrington UA,202228,100734,66223,24446,8466,2359,49.8,32.7,12.1,4.2,1.2,10825,5.4,149461,107765,21782,63875,472,2389,2886,5870,5961,4530,41696,22189,5441,4917,6063,3086,72.1,14.6,42.7,0.3,1.6,1.9,3.9,4.0,3.0,27.9,14.8,3.6,3.3,4.1,2.1,3.988331404179017
E07000026,Allerdale,96422,42887,33297,14210,4762,1266,44.5,34.5,14.7,4.9,1.3,6028,6.2,70978,48904,11615,25912,353,1771,1543,3639,2553,1518,22074,13422,2128,2274,3215,1035,68.9,16.4,36.5,0.5,2.5,2.2,5.1,3.6,2.1,31.1,18.9,3.0,3.2,4.5,1.5,3.596889176928062
