year,area_code,area_name,tsne1,tsne2,tsne_cluster,pct_very_good,pct_good,pct_fair,pct_bad,pct_very_bad,pct_bad_or_very_bad,pct_unemployed_of_total,pct_retired,pct_student_inactive,pct_looking_after_home_family,pct_long_term_sick_disabled,pct_other_inactive
2011,E06000001,Hartlepool UA,26.58465,4.4291615,2,43.3,32.7,15.9,6.3,1.8,8.1,7.774983533920124,15.9,4.6,4.9,7.1,2.4
2011,E06000002,Middlesbrough UA,25.631342,9.096536,2,45.4,32.7,14.2,5.8,1.8,7.6,7.589183598372965,13.8,7.4,5.5,6.8,3.2
2011,E06000003,Redcar and Cleveland UA,25.271835,4.442959,2,42.4,33.9,15.9,6.1,1.8,7.899999999999999,6.587212761023221,19.4,4.2,4.4,5.9,2.1
2011,E06000004,Stockton-on-Tees UA,11.596146,12.849938,2,46.3,33.5,13.8,4.9,1.5,6.4,5.74103829254767,14.8,5.2,4.2,4.9,2.5
2011,E06000005,Darlington UA,8.819101,9.832992,2,44.6,35.2,14.3,4.5,1.4,5.9,5.222156977882169,15.9,3.6,4.0,4.9,1.9
2011,E06000006,Halton UA,19.79156,6.9064527,2,46.7,31.6,13.9,6.1,1.7,7.8,5.556154808646503,14.4,4.2,4.2,7.0,1.9
2011,E06000007,Warrington UA,1.5637286,10.055053,2,49.8,32.7,12.1,4.2,1.2,5.4,3.988331404179017,14.8,3.6,3.3,4.1,2.1
2011,E06000008,Blackburn with Darwen UA,23.707073,10.10917,2,45.4,33.2,14.1,5.7,1.6,7.300000000000001,5.339168909277225,12.7,5.8,6.8,7.1,3.5
2011,E06000009,Blackpool UA,25.545038,1.7821105,2,39.8,33.8,16.9,7.3,2.2,9.5,6.1042451330758185,16.2,3.7,3.8,7.9,2.4
2011,E06000010,"Kingston upon Hull, City of UA",27.060675,8.79612,2,43.1,34.9,14.9,5.5,1.6,7.1,8.0247626042705,12.1,6.9,5.0,6.0,2.7
2011,E06000011,East Riding of Yorkshire UA,2.5016325,2.8156626,2,45.2,35.0,14.5,4.2,1.2,5.4,3.5811135451191807,19.5,3.7,3.2,3.1,1.7
2011,E06000012,North East Lincolnshire UA,9.764668,11.385721,2,44.0,35.0,14.9,4.7,1.3,6.0,6.46331039603533,15.6,4.2,4.9,4.8,2.2
2011,E06000013,North Lincolnshire UA,8.03631,8.899229,2,43.7,35.8,14.7,4.5,1.2,5.7,4.79771763032478,16.6,3.7,4.4,4.2,1.8
2011,E06000014,York UA,-17.06323,-3.5266998,0,49.7,34.2,12.0,3.2,0.9,4.1000000000000005,3.0589696172616145,13.8,9.6,2.7,2.5,1.3
2011,E06000015,Derby UA,8.979622,13.519314,2,45.0,35.0,14.1,4.6,1.3,5.9,5.185424812176852,12.8,6.3,4.8,4.8,2.4
2011,E06000016,Leicester UA,-5.2731123,24.647493,3,44.9,35.6,13.4,4.5,1.5,6.0,6.184979688893293,9.3,11.4,6.2,5.1,3.4
